,0,1,2
235,5.0482197,-0.3067468,-2.0504906
236,9.312613,-2.1630604,2.1956477
237,6.201873,0.7068038,-2.1359656
238,10.732624,-2.6810641,4.0899534
239,5.637912,1.1200972,0.20496018
240,5.914497,1.1784867,1.3059449
241,3.2241843,2.937074,-2.6119497
242,2.9841154,3.1213624,-2.2119522
243,7.862136,-0.80393934,0.6204851
244,7.3395057,-0.3317294,0.59356815
245,6.398044,0.22471613,-0.12775339
246,6.2937994,-0.6963236,-0.74144
247,3.7700303,2.8718083,0.26024815
248,6.1797833,0.059717394,-0.67278105
249,9.307958,-2.0416152,2.206385
250,5.7346387,0.5651347,-0.059840772
251,10.784697,-2.461506,4.66111
252,5.2912416,0.8641049,-0.271627
253,3.7645783,2.6536326,-0.44108346
254,5.584823,1.1137382,-0.12278176
255,10.09009,-2.357461,3.4373517
256,5.6583796,0.74293953,0.28320798
257,10.199443,-1.9410435,4.288673
258,4.2942967,2.3368256,-2.974733
259,10.230277,-2.0982702,4.658932
260,4.6231737,2.0864134,-2.9145937
261,4.369545,2.2900212,-2.8110082
262,4.432904,2.2437012,-2.8990045
263,4.3465447,2.2603838,-2.8924496
264,10.152326,-1.8929353,4.298352
265,7.9551005,-1.4508238,1.1040672
266,5.236396,1.2382375,-2.728149
267,4.4501452,1.8101014,-2.201332
268,3.3789074,2.1083755,-1.6504706
269,5.2572727,1.2459064,-2.4123168
270,4.12972,-2.5568163,-3.6495142
271,4.3981953,-1.806606,-3.2681472
272,4.1667295,-2.1973944,-3.5162325
273,3.9316387,-3.7742407,-4.1288314
274,3.919525,-3.8733873,-4.278975
275,4.272235,-2.010247,-3.4077485
276,3.9445624,-3.7824554,-4.142566
277,8.799241,-1.3730515,2.0815241
278,8.766663,-1.3763933,2.0482779
279,8.842605,-1.3125339,2.1033719
280,8.787913,-1.3900468,2.0977373
281,8.829526,-1.3910923,2.1405067
282,4.3337655,-1.9002926,-3.3297403
283,4.1466947,-2.2015831,-3.5413053
284,3.9872901,-3.800248,-4.1524777
285,3.9750736,-3.850926,-4.2095337
286,4.3433414,-1.8832803,-3.3172855
287,4.1709704,-2.1889863,-3.516221
288,3.972242,-3.8021576,-4.118031
289,3.8829346,-3.854347,-4.214
290,4.3430843,-1.9033568,-3.3689587
291,4.199718,-2.1762009,-3.5185041
292,3.8561802,-3.8496146,-4.243233
293,3.905312,-3.762887,-4.127735
294,4.3066325,-1.9489713,-3.376376
295,4.1630106,-2.200706,-3.5008094
296,3.8924544,-3.8389964,-4.164475
297,4.021644,-3.734509,-4.0618043
298,4.352556,-1.8697696,-3.313861
299,4.1659923,-2.2135706,-3.4953578
300,3.9293523,-3.8726063,-4.2555676
301,3.9210937,-3.8592913,-4.1829543
302,3.6686852,2.4122024,-2.2452636
303,3.2706835,2.8261735,-1.2181804
304,5.8054833,0.5341361,0.27043617
305,7.531938,-1.6449288,2.240025
306,8.41736,-1.3234127,1.8625942
307,8.630191,-1.3941876,2.0508032
308,7.4585323,-1.0541466,0.7671008
309,7.4258227,-1.0653969,0.7367201
310,7.9601526,-1.0692165,0.93859535
311,7.6949205,-1.0492878,0.57555926
312,5.911401,1.1554022,1.2144148
313,5.6529856,1.1741396,0.58459735
314,5.551932,1.2373801,0.48097238
315,6.070558,1.0716816,1.4582309
316,6.0513616,1.080859,1.4251994
317,6.122379,1.0291833,1.5082278
318,6.1502066,1.0035706,1.5368744
319,5.1049075,0.054659512,-1.3855813
320,3.363924,2.1967113,-1.4334185
321,4.5624313,-1.2841147,-2.824651
322,5.7613373,0.30326116,-0.4512998
323,3.335976,2.3370893,-1.2828244
324,2.835676,3.1686304,-2.2921374
325,6.0072384,0.021513924,-0.83647513
326,5.625861,0.999535,-0.3265464
327,5.338997,1.2199683,-2.636182
328,10.613735,-1.6538783,4.1052117
329,8.466872,-1.6031116,2.3090246
330,7.743931,-1.0035636,0.73535895
331,8.472302,-1.3196598,1.8434569
332,6.4578495,-0.59063196,-0.32851535
333,8.372922,-2.0035732,2.8114152
334,10.883114,-2.6012444,4.438703
335,10.913945,-2.5405698,4.3879824
336,10.578094,-2.6378093,3.8614821
337,3.1048853,2.0974042,-1.6940162
338,3.386941,2.1988328,-1.4256269
339,10.835572,-2.6095984,4.4166665
340,4.909936,-0.27135533,-2.2014425
341,5.7454853,0.7743214,0.1834431
342,8.398785,-1.3246057,1.8678899
343,5.6246986,0.021889446,-1.7287745
344,7.0792437,-0.49287236,-0.36517885
345,6.984649,-0.69160455,-0.37613907
346,7.0475154,-0.5104353,-0.3534301
347,7.7146473,-0.9881969,1.257099
348,7.6628766,-1.0107201,1.197167
349,7.6338167,-0.8874549,0.9509955
350,6.651707,-0.5812502,-0.15328962
351,7.2373815,-0.6310662,0.059010703
352,6.8765597,-0.40147525,-0.24162523
353,7.4058337,-0.9975868,0.5412632
354,7.5503464,-1.1473389,0.60680103
355,6.167026,-0.007474331,-1.0158044
356,6.5870633,-0.2704952,-0.45095044
357,5.772755,0.07328572,-1.4942806
358,6.610991,-0.23080891,-0.27338836
359,6.8403482,-0.38020363,-0.05569767
360,7.726863,-1.0132825,0.8671548
361,7.8103743,-1.0711519,1.0743426
362,7.4255342,-1.0134436,0.5811202
363,7.404955,-0.70154494,0.5678635
364,7.560109,-0.82983184,0.64011645
365,5.0784507,-0.3836962,-2.1097944
366,5.0312657,-0.40522414,-2.121381
367,7.6505213,-0.9664049,1.1411635
368,7.739371,-1.0479128,1.2893268
369,5.0308137,-0.27695006,-2.0630434
370,4.9996166,-0.39297488,-2.1206613
371,4.9687157,-0.429199,-2.1729462
372,5.238363,-0.23340866,-1.9132469
373,5.5678315,0.1534173,-1.6589651
374,7.192985,-0.9692084,0.36779538
375,5.347463,0.65726846,-2.0730631
376,8.6153555,-2.0884883,2.9899032
377,8.651787,-2.0390165,2.9435437
378,8.58889,-2.0619876,2.925528
379,3.9744802,-3.7109952,-4.0761733
380,-4.7725897,9.8236475,-2.8823116
381,-4.6955976,9.746658,-2.9593267
382,-4.695947,9.747015,-2.9589503
383,6.0713058,0.18936853,-0.56899387
384,11.084288,-2.6711345,4.3278055
385,10.739237,-2.628415,3.9107826
386,3.2687712,2.0797887,-1.6702082
387,8.539137,-1.5536118,1.9742409
388,3.2655742,1.688688,-2.1433733
389,4.734365,1.9138259,-2.8356547
390,7.06344,-1.3044683,1.4132628
391,6.2388716,-0.08130619,-0.51494277
392,6.294578,-0.05058061,0.124418184
393,5.6831203,1.1022683,0.29737547
394,9.567112,-2.018259,4.4247236
395,6.942647,-1.22795,1.1715748
396,6.9027867,-1.160665,1.0953343
397,6.991252,-1.1587378,1.021133
398,-0.6792339,-10.610816,-0.44630396
399,-0.71894526,-10.56599,-0.42078742
400,3.9965744,-3.7077312,-4.067641
401,-4.732516,9.78358,-2.9224
402,-4.6683035,9.719363,-2.986685
403,-4.6276813,9.678704,-3.0273445
404,-4.6462827,9.697339,-3.0087173
405,3.988943,-3.7119741,-4.0753183
406,-4.760191,9.811247,-2.894682
407,3.0616488,2.522828,-2.7149768
408,-4.6071143,9.658157,-3.047901
409,3.0920906,2.4228244,-2.6015823
410,3.1478097,2.766921,-2.7716022
411,-4.6390924,9.6901455,-3.0158956
412,3.0749693,2.6394958,-2.6722097
413,-4.68417,9.735223,-2.9708147
414,6.9153266,-0.30416623,-0.3155519
415,7.444335,-0.96083504,0.59292614
416,9.378019,-2.0081441,3.1408885
417,9.59803,-1.9962275,4.4642887
418,6.044505,0.75676376,-2.2524323
419,9.566798,-1.960297,4.404827
420,9.618948,-1.9849573,4.453504
421,7.1035595,-1.3160691,1.2208055
422,6.1998954,0.73665816,-2.238401
423,6.116678,0.8246074,-2.3530416
424,4.921345,2.1636183,1.2226421
425,4.9343967,2.1491988,1.1846243
426,3.1295252,3.024671,-2.0633783
427,4.997212,2.0774074,1.1710341
428,5.0336366,2.0524638,1.2009485
